'32, SCC 32', 'mibench', 'qsort_small', 81404020, 55937012
'128, SCC 128', 'mibench', 'qsort_small', 79005978, 55937012
'192, SCC 192', 'mibench', 'qsort_small', 81135478, 55937012
'256, SCC 256', 'mibench', 'qsort_small', 79656533, 55937012
'512, SCC 512', 'mibench', 'qsort_small', 85640006, 55937012
'1024, SCC 1024', 'mibench', 'qsort_small', 90820200, 55937012
'32, SCC 32', 'mibench', 'rawcaudio', 86700297, 73413564
'128, SCC 128', 'mibench', 'rawcaudio', 86697293, 73413564
'192, SCC 192', 'mibench', 'rawcaudio', 86697226, 73413564
'256, SCC 256', 'mibench', 'rawcaudio', 86700238, 73413564
'512, SCC 512', 'mibench', 'rawcaudio', 86697221, 73413564
'1024, SCC 1024', 'mibench', 'rawcaudio', 86697144, 73413564
'32, SCC 32', 'mibench', 'rawdaudio', 65526925, 55339362
'128, SCC 128', 'mibench', 'rawdaudio', 65526924, 55339362
'192, SCC 192', 'mibench', 'rawdaudio', 65526857, 55339362
'256, SCC 256', 'mibench', 'rawdaudio', 65587346, 55339362
'512, SCC 512', 'mibench', 'rawdaudio', 65526852, 55339362
'1024, SCC 1024', 'mibench', 'rawdaudio', 65526775, 55339362
'32, SCC 32', 'mibench', 'rsynth_tiny', 131675592, 58506148
'128, SCC 128', 'mibench', 'rsynth_tiny', 81089571, 58506148
'192, SCC 192', 'mibench', 'rsynth_tiny', 77451165, 58506148
'256, SCC 256', 'mibench', 'rsynth_tiny', 75605169, 58506148
'512, SCC 512', 'mibench', 'rsynth_tiny', 97656759, 58506148
'1024, SCC 1024', 'mibench', 'rsynth_tiny', 126220571, 58506148
'32, SCC 32', 'mibench', 'search_large', 26654289, 16900265
'128, SCC 128', 'mibench', 'search_large', 25568371, 16900265
'192, SCC 192', 'mibench', 'search_large', 26416485, 16900265
'256, SCC 256', 'mibench', 'search_large', 26302405, 16900265
'512, SCC 512', 'mibench', 'search_large', 29146059, 16900265
'1024, SCC 1024', 'mibench', 'search_large', 30866594, 16900265
'32, SCC 32', 'mibench', 'search_small', 1058187, 673686
'128, SCC 128', 'mibench', 'search_small', 1016593, 673686
'192, SCC 192', 'mibench', 'search_small', 1052311, 673686
'256, SCC 256', 'mibench', 'search_small', 1042347, 673686
'512, SCC 512', 'mibench', 'search_small', 1162064, 673686
'1024, SCC 1024', 'mibench', 'search_small', 1240425, 673686
'32, SCC 32', 'mibench', 'sha', 26381142, 24034442
'128, SCC 128', 'mibench', 'sha', 26374514, 24034442
'192, SCC 192', 'mibench', 'sha', 26366640, 24034442
'256, SCC 256', 'mibench', 'sha', 26044336, 24034442
'512, SCC 512', 'mibench', 'sha', 24134821, 24034442
'1024, SCC 1024', 'mibench', 'sha', 24203446, 24034442
'32, SCC 32', 'mibench', 'ssusan_small', 41395775, 34167002
'128, SCC 128', 'mibench', 'ssusan_small', 36956144, 34167002
'192, SCC 192', 'mibench', 'ssusan_small', 36709124, 34167002
'256, SCC 256', 'mibench', 'ssusan_small', 36612306, 34167002
'512, SCC 512', 'mibench', 'ssusan_small', 37335891, 34167002
'1024, SCC 1024', 'mibench', 'ssusan_small', 48283062, 34167002
'32, SCC 32', 'mrtc', 'adpcm', 2243378, 2237731
'128, SCC 128', 'mrtc', 'adpcm', 2243377, 2237731
'192, SCC 192', 'mrtc', 'adpcm', 2243317, 2237731
'256, SCC 256', 'mrtc', 'adpcm', 2243430, 2237731
'512, SCC 512', 'mrtc', 'adpcm', 2243597, 2237731
'1024, SCC 1024', 'mrtc', 'adpcm', 2243581, 2237731
'32, SCC 32', 'mrtc', 'bsort100', 207483, 177370
'128, SCC 128', 'mrtc', 'bsort100', 207489, 177370
'192, SCC 192', 'mrtc', 'bsort100', 207429, 177370
'256, SCC 256', 'mrtc', 'bsort100', 207438, 177370
'512, SCC 512', 'mrtc', 'bsort100', 177478, 177370
'1024, SCC 1024', 'mrtc', 'bsort100', 177408, 177370
'32, SCC 32', 'mrtc', 'bs', 1054, 836
'128, SCC 128', 'mrtc', 'bs', 1016, 836
'192, SCC 192', 'mrtc', 'bs', 949, 836
'256, SCC 256', 'mrtc', 'bs', 958, 836
'512, SCC 512', 'mrtc', 'bs', 944, 836
'1024, SCC 1024', 'mrtc', 'bs', 874, 836
'32, SCC 32', 'mrtc', 'cnt', 4389, 4215
'128, SCC 128', 'mrtc', 'cnt', 4395, 4215
'192, SCC 192', 'mrtc', 'cnt', 4335, 4215
'256, SCC 256', 'mrtc', 'cnt', 4344, 4215
'512, SCC 512', 'mrtc', 'cnt', 4330, 4215
'1024, SCC 1024', 'mrtc', 'cnt', 4246, 4215
'32, SCC 32', 'mrtc', 'compress', 8184, 7314
'128, SCC 128', 'mrtc', 'compress', 8183, 7314
'192, SCC 192', 'mrtc', 'compress', 8123, 7314
