'512, SCC 2048', 'mrtc', 'compress', 8118, 7314
'128, SCC 2048', 'mrtc', 'cover', 2136, 1816
'256, SCC 2048', 'mrtc', 'cover', 2035, 1816
'512, SCC 2048', 'mrtc', 'cover', 1952, 1816
'128, SCC 2048', 'mrtc', 'crc', 15710, 15468
'256, SCC 2048', 'mrtc', 'crc', 15632, 15468
'512, SCC 2048', 'mrtc', 'crc', 15597, 15468
'128, SCC 2048', 'mrtc', 'duff', 1422, 1249
'256, SCC 2048', 'mrtc', 'duff', 1371, 1249
'512, SCC 2048', 'mrtc', 'duff', 1357, 1249
'128, SCC 2048', 'mrtc', 'edn', 49887, 49161
'256, SCC 2048', 'mrtc', 'edn', 49770, 49161
'512, SCC 2048', 'mrtc', 'edn', 49756, 49161
'128, SCC 2048', 'mrtc', 'expint', 78165, 77678
'256, SCC 2048', 'mrtc', 'expint', 77800, 77678
'512, SCC 2048', 'mrtc', 'expint', 77786, 77678
'128, SCC 2048', 'mrtc', 'fac', 907, 734
'256, SCC 2048', 'mrtc', 'fac', 856, 734
'512, SCC 2048', 'mrtc', 'fac', 842, 734
'128, SCC 2048', 'mrtc', 'fdct', 3369, 3182
'256, SCC 2048', 'mrtc', 'fdct', 3318, 3182
'512, SCC 2048', 'mrtc', 'fdct', 3304, 3182
'128, SCC 2048', 'mrtc', 'fft1', 161306, 78616
'256, SCC 2048', 'mrtc', 'fft1', 153063, 78616
'512, SCC 2048', 'mrtc', 'fft1', 171344, 78616
'128, SCC 2048', 'mrtc', 'fibcall', 907, 734
'256, SCC 2048', 'mrtc', 'fibcall', 856, 734
'512, SCC 2048', 'mrtc', 'fibcall', 842, 734
'128, SCC 2048', 'mrtc', 'fir', 3101, 2833
'256, SCC 2048', 'mrtc', 'fir', 3050, 2833
'512, SCC 2048', 'mrtc', 'fir', 2941, 2833
'128, SCC 2048', 'mrtc', 'insertsort', 2403, 2117
'256, SCC 2048', 'mrtc', 'insertsort', 2352, 2117
'512, SCC 2048', 'mrtc', 'insertsort', 2225, 2117
'128, SCC 2048', 'mrtc', 'janne_complex', 1235, 1020
'256, SCC 2048', 'mrtc', 'janne_complex', 1135, 1020
'512, SCC 2048', 'mrtc', 'janne_complex', 1121, 1020
'128, SCC 2048', 'mrtc', 'jfdctint', 5112, 4932
'256, SCC 2048', 'mrtc', 'jfdctint', 5061, 4932
'512, SCC 2048', 'mrtc', 'jfdctint', 5047, 4932
'128, SCC 2048', 'mrtc', 'lcdnum', 1399, 1119
'256, SCC 2048', 'mrtc', 'lcdnum', 1348, 1119
'512, SCC 2048', 'mrtc', 'lcdnum', 1269, 1119
'128, SCC 2048', 'mrtc', 'lms', 16115223, 9737989
'256, SCC 2048', 'mrtc', 'lms', 16031713, 9737989
'512, SCC 2048', 'mrtc', 'lms', 17865582, 9737989
'128, SCC 2048', 'mrtc', 'loop3', 907, 734
'256, SCC 2048', 'mrtc', 'loop3', 856, 734
'512, SCC 2048', 'mrtc', 'loop3', 842, 734
'128, SCC 2048', 'mrtc', 'ludcmp', 90883, 59268
'256, SCC 2048', 'mrtc', 'ludcmp', 97445, 59268
'512, SCC 2048', 'mrtc', 'ludcmp', 111415, 59268
'128, SCC 2048', 'mrtc', 'matmult', 106612, 104490
'256, SCC 2048', 'mrtc', 'matmult', 106561, 104490
'512, SCC 2048', 'mrtc', 'matmult', 104598, 104490
'128, SCC 2048', 'mrtc', 'minmax', 1261, 1032
'256, SCC 2048', 'mrtc', 'minmax', 1199, 1032
'512, SCC 2048', 'mrtc', 'minmax', 1154, 1032
'128, SCC 2048', 'mrtc', 'minver', 26976, 17269
'256, SCC 2048', 'mrtc', 'minver', 26210, 17269
'512, SCC 2048', 'mrtc', 'minver', 29081, 17269
'128, SCC 2048', 'mrtc', 'ndes', 35683, 34374
'256, SCC 2048', 'mrtc', 'ndes', 35565, 34374
'512, SCC 2048', 'mrtc', 'ndes', 35299, 34374
'128, SCC 2048', 'mrtc', 'nsichneu', 38944, 25885
'256, SCC 2048', 'mrtc', 'nsichneu', 30037, 25885
'512, SCC 2048', 'mrtc', 'nsichneu', 39287, 25885
'128, SCC 2048', 'mrtc', 'ns', 13254, 9913
'256, SCC 2048', 'mrtc', 'ns', 10035, 9913
'512, SCC 2048', 'mrtc', 'ns', 10021, 9913
'128, SCC 2048', 'mrtc', 'exam', 6853, 5492
'256, SCC 2048', 'mrtc', 'exam', 5939, 5492
'512, SCC 2048', 'mrtc', 'exam', 5925, 5492
'128, SCC 2048', 'mrtc', 'qurt', 69988, 40065
'256, SCC 2048', 'mrtc', 'qurt', 66294, 40065
'512, SCC 2048', 'mrtc', 'qurt', 87722, 40065
'128, SCC 2048', 'mrtc', 'recursion', 4168, 3398
'256, SCC 2048', 'mrtc', 'recursion', 3520, 3398
'512, SCC 2048', 'mrtc', 'recursion', 3506, 3398
'128, SCC 2048', 'mrtc', 'select', 7025, 5865
'256, SCC 2048', 'mrtc', 'select', 6204, 5865
'512, SCC 2048', 'mrtc', 'select', 6190, 5865
'128, SCC 2048', 'mrtc', 'sqrt', 907, 734
'256, SCC 2048', 'mrtc', 'sqrt', 856, 734
'512, SCC 2048', 'mrtc', 'sqrt', 842, 734
'128, SCC 2048', 'mrtc', 'statemate', 624, 624
'256, SCC 2048', 'mrtc', 'statemate', 624, 624
'512, SCC 2048', 'mrtc', 'statemate', 624, 624
'128, SCC 2048', 'mrtc', 'ud', 15059, 14176
'256, SCC 2048', 'mrtc', 'ud', 15097, 14176
'512, SCC 2048', 'mrtc', 'ud', 15074, 14176
