"32/32", "coremark", "coremark", 6934443, 5992527
"128/128", "coremark", "coremark", 6722062, 5992527
"192/192", "coremark", "coremark", 6553048, 5992527
"256/256", "coremark", "coremark", 6521132, 5992527
"512/512", "coremark", "coremark", 6600792, 5992527
"1024/1024", "coremark", "coremark", 6308407, 5992527
"32/32", "mibench", "basicmath_tiny", 68090204, 32097728
"128/128", "mibench", "basicmath_tiny", 41380815, 32097728
"192/192", "mibench", "basicmath_tiny", 40139789, 32097728
"256/256", "mibench", "basicmath_tiny", 37950166, 32097728
"512/512", "mibench", "basicmath_tiny", 37081692, 32097728
"1024/1024", "mibench", "basicmath_tiny", 38902425, 32097728
"32/32", "mibench", "bitcnts", 55991455, 50935509
"128/128", "mibench", "bitcnts", 50958826, 50935509
"192/192", "mibench", "bitcnts", 50961739, 50935509
"256/256", "mibench", "bitcnts", 50959888, 50935509
"512/512", "mibench", "bitcnts", 50964523, 50935509
"1024/1024", "mibench", "bitcnts", 50967831, 50935509
"32/32", "mibench", "cjpeg_small", 62952153, 57996775
"128/128", "mibench", "cjpeg_small", 62657604, 57996775
"192/192", "mibench", "cjpeg_small", 61820656, 57996775
"256/256", "mibench", "cjpeg_small", 61718779, 57996775
"512/512", "mibench", "cjpeg_small", 59869330, 57996775
"1024/1024", "mibench", "cjpeg_small", 57662385, 57996775
"32/32", "mibench", "crc_32", 24844352, 21736150
"128/128", "mibench", "crc_32", 24497969, 21736150
"192/192", "mibench", "crc_32", 24834093, 21736150
"256/256", "mibench", "crc_32", 24834336, 21736150
"512/512", "mibench", "crc_32", 22776601, 21736150
"1024/1024", "mibench", "crc_32", 22429918, 21736150
"32/32", "mibench", "csusan_small", 4762738, 2406457
"128/128", "mibench", "csusan_small", 3968703, 2406457
"192/192", "mibench", "csusan_small", 3776101, 2406457
"256/256", "mibench", "csusan_small", 3578949, 2406457
"512/512", "mibench", "csusan_small", 2928454, 2406457
"1024/1024", "mibench", "csusan_small", 3025585, 2406457
"32/32", "mibench", "dbf", 88680524, 82674973
"128/128", "mibench", "dbf", 87585368, 82674973
"192/192", "mibench", "dbf", 88224071, 82674973
"256/256", "mibench", "dbf", 86955957, 82674973
"512/512", "mibench", "dbf", 85078601, 82674973
"1024/1024", "mibench", "dbf", 83515228, 82674973
"32/32", "mibench", "dijkstra_small", 98286884, 80507099
"128/128", "mibench", "dijkstra_small", 87220394, 80507099
"192/192", "mibench", "dijkstra_small", 87174294, 80507099
"256/256", "mibench", "dijkstra_small", 86873655, 80507099
"512/512", "mibench", "dijkstra_small", 86568787, 80507099
"1024/1024", "mibench", "dijkstra_small", 86550539, 80507099
"32/32", "mibench", "djpeg_small", 17796044, 15852901
"128/128", "mibench", "djpeg_small", 16791815, 15852901
"192/192", "mibench", "djpeg_small", 17422039, 15852901
"256/256", "mibench", "djpeg_small", 16726816, 15852901
"512/512", "mibench", "djpeg_small", 16230332, 15852901
"1024/1024", "mibench", "djpeg_small", 16126441, 15852901
"32/32", "mibench", "drijndael", 119509118, 90557476
"128/128", "mibench", "drijndael", 115281754, 90557476
"192/192", "mibench", "drijndael", 116047758, 90557476
"256/256", "mibench", "drijndael", 115089025, 90557476
"512/512", "mibench", "drijndael", 112048641, 90557476
"1024/1024", "mibench", "drijndael", 113868409, 90557476
"32/32", "mibench", "ebf", 89203718, 82954962
"128/128", "mibench", "ebf", 87765970, 82954962
"192/192", "mibench", "ebf", 88537344, 82954962
"256/256", "mibench", "ebf", 87262581, 82954962
"512/512", "mibench", "ebf", 85379563, 82954962
"1024/1024", "mibench", "ebf", 83796429, 82954962
"32/32", "mibench", "erijndael", 126294394, 94681740
"128/128", "mibench", "erijndael", 121751596, 94681740
"192/192", "mibench", "erijndael", 122499457, 94681740
"256/256", "mibench", "erijndael", 122974891, 94681740
"512/512", "mibench", "erijndael", 120412441, 94681740
"1024/1024", "mibench", "erijndael", 122306855, 94681740
"32/32", "mibench", "esusan_small", 8203405, 4595186
"128/128", "mibench", "esusan_small", 7027743, 4595186
"192/192", "mibench", "esusan_small", 6849053, 4595186
"256/256", "mibench", "esusan_small", 5976068, 4595186
"512/512", "mibench", "esusan_small", 4967664, 4595186
"1024/1024", "mibench", "esusan_small", 5682066, 4595186
"32/32", "mibench", "fft_tiny", 21011348, 8276476
"128/128", "mibench", "fft_tiny", 11495482, 8276476
"192/192", "mibench", "fft_tiny", 10801170, 8276476
"256/256", "mibench", "fft_tiny", 10362984, 8276476
"512/512", "mibench", "fft_tiny", 9792400, 8276476
"1024/1024", "mibench", "fft_tiny", 10332922, 8276476
"32/32", "mibench", "ifft_tiny", 20260487, 8037994
"128/128", "mibench", "ifft_tiny", 11223859, 8037994
"192/192", "mibench", "ifft_tiny", 10535938, 8037994
"256/256", "mibench", "ifft_tiny", 10139762, 8037994
"512/512", "mibench", "ifft_tiny", 9535766, 8037994
"1024/1024", "mibench", "ifft_tiny", 10065674, 8037994
"32/32", "mibench", "patricia", 304140348, 233865657
"128/128", "mibench", "patricia", 288133973, 233865657
"192/192", "mibench", "patricia", 290451358, 233865657
"256/256", "mibench", "patricia", 278839371, 233865657
"512/512", "mibench", "patricia", 269630052, 233865657
"1024/1024", "mibench", "patricia", 273717433, 233865657
"32/32", "mibench", "qsort_small", 72185560, 47709170
"128/128", "mibench", "qsort_small", 69800727, 47709170
"192/192", "mibench", "qsort_small", 71346145, 47709170
"256/256", "mibench", "qsort_small", 69790367, 47709170
"512/512", "mibench", "qsort_small", 71947200, 47709170
"1024/1024", "mibench", "qsort_small", 74164334, 47709170
"32/32", "mibench", "rawcaudio", 86699925, 73413564
"128/128", "mibench", "rawcaudio", 86696918, 73413564
"192/192", "mibench", "rawcaudio", 86696887, 73413564
"256/256", "mibench", "rawcaudio", 86699887, 73413564
"512/512", "mibench", "rawcaudio", 86696870, 73413564
"1024/1024", "mibench", "rawcaudio", 86696808, 73413564
"32/32", "mibench", "rawdaudio", 65526571, 55339362
"128/128", "mibench", "rawdaudio", 65526567, 55339362
"192/192", "mibench", "rawdaudio", 65526536, 55339362
"256/256", "mibench", "rawdaudio", 65587013, 55339362
"512/512", "mibench", "rawdaudio", 65526519, 55339362
"1024/1024", "mibench", "rawdaudio", 65526454, 55339362
"32/32", "mibench", "rsynth_tiny", 103473964, 46873296
"128/128", "mibench", "rsynth_tiny", 67515184, 46873296
"192/192", "mibench", "rsynth_tiny", 62747783, 46873296
"256/256", "mibench", "rsynth_tiny", 59755862, 46873296
"512/512", "mibench", "rsynth_tiny", 59250799, 46873296
"1024/1024", "mibench", "rsynth_tiny", 59892874, 46873296
"32/32", "mibench", "search_large", 22597761, 13465862
"128/128", "mibench", "search_large", 21477391, 13465862
"192/192", "mibench", "search_large", 22050771, 13465862
"256/256", "mibench", "search_large", 21811204, 13465862
"512/512", "mibench", "search_large", 19080145, 13465862
"1024/1024", "mibench", "search_large", 17332568, 13465862
"32/32", "mibench", "search_small", 897663, 542303
"128/128", "mibench", "search_small", 854194, 542303
"192/192", "mibench", "search_small", 878230, 542303
"256/256", "mibench", "search_small", 864213, 542303
"512/512", "mibench", "search_small", 749584, 542303
"1024/1024", "mibench", "search_small", 704493, 542303
"32/32", "mibench", "sha", 26343387, 24025790
"128/128", "mibench", "sha", 26285262, 24025790
"192/192", "mibench", "sha", 26282400, 24025790
"256/256", "mibench", "sha", 26008124, 24025790
"512/512", "mibench", "sha", 24049826, 24025790
"1024/1024", "mibench", "sha", 24087473, 24025790
"32/32", "mibench", "ssusan_small", 38589005, 32555203
"128/128", "mibench", "ssusan_small", 35464094, 32555203
"192/192", "mibench", "ssusan_small", 35066715, 32555203
"256/256", "mibench", "ssusan_small", 34727930, 32555203
"512/512", "mibench", "ssusan_small", 34585910, 32555203
"1024/1024", "mibench", "ssusan_small", 35093023, 32555203
"32/32", "mrtc", "adpcm", 2236529, 2237724
"128/128", "mrtc", "adpcm", 2236525, 2237724
"192/192", "mrtc", "adpcm", 2236489, 2237724
"256/256", "mrtc", "adpcm", 2236474, 2237724
"512/512", "mrtc", "adpcm", 2236459, 2237724
"1024/1024", "mrtc", "adpcm", 2236360, 2237724
"32/32", "mrtc", "bsort100", 207213, 177370
"128/128", "mrtc", "bsort100", 207216, 177370
"192/192", "mrtc", "bsort100", 207183, 177370
"256/256", "mrtc", "bsort100", 207186, 177370
"512/512", "mrtc", "bsort100", 177229, 177370
"1024/1024", "mrtc", "bsort100", 177177, 177370
"32/32", "mrtc", "bs", 817, 836
"128/128", "mrtc", "bs", 779, 836
"192/192", "mrtc", "bs", 739, 836
"256/256", "mrtc", "bs", 745, 836
